Ensembl Gene ID	Gene Symbol
ENSG00000260371	-
ENSG00000264091	-
ENSG00000238921	-
ENSG00000274815	-
ENSG00000269349	-
ENSG00000200291	-
ENSG00000233614	-
ENSG00000022567	SLC45A4
ENSG00000241670	-
ENSG00000278933	-
ENSG00000202175	-
ENSG00000120662	MTRF1
ENSG00000235523	-
ENSG00000249848	-
ENSG00000277826	-
ENSG00000230225	-
ENSG00000239877	-
ENSG00000201398	-
ENSG00000281474	-
ENSG00000272905	-
ENSG00000259952	-
ENSG00000260812	-
ENSG00000225630	-
ENSG00000230231	-
ENSG00000164283	ESM1
ENSG00000231880	-
ENSG00000227489	-
ENSG00000254555	-
ENSG00000013392	RWDD2A
ENSG00000258279	-
ENSG00000226688	-
ENSG00000250929	-
ENSG00000204581	-
ENSG00000225620	-
ENSG00000258477	-
ENSG00000225488	-
ENSG00000184178	SCFD2
ENSG00000237786	-
ENSG00000166913	YWHAB
ENSG00000275856	-
ENSG00000164112	TMEM155
ENSG00000259345	-
ENSG00000130204	TOMM40
ENSG00000280387	-
ENSG00000189099	PRSS48
ENSG00000232879	-
ENSG00000111863	ADTRP
ENSG00000164182	NDUFAF2
ENSG00000109618	SEPSECS
ENSG00000271623	-
ENSG00000279345	-
ENSG00000214866	DCDC2C
ENSG00000153015	CWC27
ENSG00000202290	-
ENSG00000254578	-
ENSG00000240710	-
ENSG00000248778	-
ENSG00000250210	-
ENSG00000225215	-
ENSG00000257246	-
ENSG00000245017	-
ENSG00000281091	-
ENSG00000250885	-
ENSG00000273797	-
ENSG00000089116	LHX5
ENSG00000036448	MYOM2
ENSG00000234055	-
ENSG00000267552	-
ENSG00000224695	-
ENSG00000106038	EVX1
ENSG00000255189	-
ENSG00000164114	MAP9
ENSG00000238698	-
ENSG00000199836	-
ENSG00000149089	APIP
ENSG00000251710	-
ENSG00000224570	-
ENSG00000179632	MAF1
ENSG00000271677	-
ENSG00000114861	FOXP1
ENSG00000205030	OR5L2
ENSG00000138193	PLCE1
ENSG00000243073	PRAMEF4
ENSG00000152942	RAD17
ENSG00000240809	-
ENSG00000280004	-
ENSG00000224560	-
ENSG00000227233	-
ENSG00000118363	SPCS2
ENSG00000258116	-
ENSG00000273311	-
ENSG00000136169	SETDB2
ENSG00000279700	-
ENSG00000121644	DESI2
ENSG00000135903	PAX3
ENSG00000138495	COX17
ENSG00000204528	-
ENSG00000169992	NLGN2
ENSG00000239344	-
ENSG00000253309	SERPINE3
ENSG00000101323	HAO1
ENSG00000272456	-
ENSG00000251538	-
ENSG00000263711	-
ENSG00000262662	-
ENSG00000127564	PKMYT1
ENSG00000219395	-
ENSG00000255349	-
ENSG00000254843	-
ENSG00000277998	-
ENSG00000275248	-
ENSG00000226086	-
ENSG00000235023	-
ENSG00000176973	FAM89B
ENSG00000255521	-
ENSG00000211682	-
ENSG00000231630	-
ENSG00000249514	-
ENSG00000272374	-
ENSG00000159479	MED8
ENSG00000112511	PHF1
ENSG00000196381	ZNF781
ENSG00000211950	-
ENSG00000202534	-
ENSG00000231062	-
ENSG00000154511	DIPK1A
ENSG00000253946	-
ENSG00000144504	ANKMY1
ENSG00000142507	PSMB6
ENSG00000259677	-
ENSG00000164116	GUCY1A1
ENSG00000273305	-
ENSG00000138669	PRKG2
ENSG00000250927	-
ENSG00000174013	FBXO45
ENSG00000235110	-
ENSG00000277670	-
ENSG00000227863	-
ENSG00000196704	AMZ2
ENSG00000251332	-
ENSG00000259235	-
ENSG00000258507	-
ENSG00000178821	TMEM52
ENSG00000244019	-
ENSG00000222054	-
ENSG00000106069	CHN2
ENSG00000243911	-
ENSG00000232301	-
ENSG00000267871	-
ENSG00000227851	-
ENSG00000225715	-
ENSG00000271934	-
ENSG00000271919	-
ENSG00000176928	GCNT4
ENSG00000233714	-
ENSG00000129455	KLK8
ENSG00000253049	-
ENSG00000240250	-
ENSG00000277889	-
ENSG00000216902	-
ENSG00000265875	-
ENSG00000237666	-
ENSG00000161896	IP6K3
ENSG00000254672	-
ENSG00000143033	MTF2
ENSG00000256150	-
ENSG00000106410	NOBOX
ENSG00000259956	RBM15B
ENSG00000150773	PIH1D2
ENSG00000227958	-
ENSG00000267083	-
ENSG00000274335	-
ENSG00000259847	-
ENSG00000226668	-
ENSG00000268140	-
ENSG00000278987	-
ENSG00000250006	-
ENSG00000236313	-
ENSG00000273085	OR52E1
ENSG00000260729	-
ENSG00000205362	MT1A
ENSG00000245667	-
ENSG00000203818	H3-2
ENSG00000258517	-
ENSG00000254768	-
ENSG00000202050	-
ENSG00000259799	-
ENSG00000230533	-
ENSG00000196296	ATP2A1
ENSG00000270457	-
ENSG00000230481	-
ENSG00000252861	-
ENSG00000231952	-
ENSG00000280956	-
ENSG00000205331	-
ENSG00000279123	-
ENSG00000206791	-
ENSG00000109805	NCAPG
ENSG00000211978	-
ENSG00000212039	-
ENSG00000203780	FANK1
ENSG00000111641	NOP2
ENSG00000221923	ZNF880
ENSG00000163975	MELTF
ENSG00000239893	-
ENSG00000127329	PTPRB
ENSG00000257815	-
ENSG00000262358	-
ENSG00000250594	-
ENSG00000077044	DGKD
ENSG00000263570	-
ENSG00000143183	TMCO1
ENSG00000229941	-
ENSG00000279455	-
ENSG00000108774	RAB5C
ENSG00000125522	NPBWR2
ENSG00000183696	UPP1
ENSG00000273826	-
ENSG00000228318	-
ENSG00000275261	-
ENSG00000212025	-
ENSG00000279874	-
ENSG00000269680	-
ENSG00000279859	-
ENSG00000222129	-
ENSG00000225758	-
ENSG00000269113	TRABD2B
ENSG00000231302	-
ENSG00000268442	-
ENSG00000244031	-
ENSG00000281158	-
ENSG00000268957	-
ENSG00000231392	-
ENSG00000166126	AMN
ENSG00000276289	KCNE1B
ENSG00000129451	KLK10
ENSG00000260000	-
ENSG00000254312	-
ENSG00000259981	-
ENSG00000117139	KDM5B
ENSG00000244025	KRTAP19-3
ENSG00000001460	STPG1
ENSG00000241057	-
ENSG00000135723	FHOD1
ENSG00000080031	PTPRH
ENSG00000168300	PCMTD1
ENSG00000234206	-
ENSG00000196772	OR14A16
ENSG00000255531	-
ENSG00000200693	-
ENSG00000268947	-
ENSG00000231982	-
ENSG00000145451	GLRA3
ENSG00000250420	-
ENSG00000227097	-
ENSG00000236764	-
ENSG00000106125	MINDY4
ENSG00000076984	MAP2K7
ENSG00000234595	-
ENSG00000232360	-
ENSG00000271824	SMIM32
ENSG00000218018	-
ENSG00000133624	-
ENSG00000253801	-
ENSG00000209082	-
ENSG00000125843	AP5S1
ENSG00000155974	GRIP1
ENSG00000243664	-
ENSG00000105053	VRK3
ENSG00000235976	-
ENSG00000267717	-
ENSG00000232002	-
ENSG00000221539	-
ENSG00000279064	-
ENSG00000254920	-
ENSG00000231378	-
ENSG00000257323	-
ENSG00000257364	-
ENSG00000260286	ARMH2
ENSG00000117394	SLC2A1
ENSG00000226235	-
ENSG00000261654	-
ENSG00000125084	WNT1
ENSG00000264799	-
ENSG00000263834	-
ENSG00000251615	-
ENSG00000254227	-
ENSG00000259443	-
ENSG00000241537	-
ENSG00000030304	MUSK
ENSG00000172288	CDY1
ENSG00000270369	-
ENSG00000258678	-
ENSG00000233469	-
ENSG00000238211	-
ENSG00000220256	-
ENSG00000212497	-
ENSG00000280799	-
ENSG00000261840	LOC730183
ENSG00000234769	-
ENSG00000252705	-
ENSG00000199812	-
ENSG00000164266	SPINK1
ENSG00000261399	-
ENSG00000258467	-
ENSG00000241815	-
ENSG00000187135	VSTM2B
ENSG00000206344	-
ENSG00000274491	-
ENSG00000240877	-
ENSG00000278126	-
ENSG00000253713	-
ENSG00000278981	-
ENSG00000214929	SPATA31D1
ENSG00000248548	-
ENSG00000168237	GLYCTK
ENSG00000009724	MASP2
ENSG00000237424	-
ENSG00000228045	-
ENSG00000177519	RPRM
ENSG00000263392	-
ENSG00000105048	TNNT1
ENSG00000280106	-
ENSG00000228360	-
ENSG00000228166	-
ENSG00000260414	-
ENSG00000198888	ND1
ENSG00000143224	PPOX
ENSG00000280483	-
ENSG00000242524	-
ENSG00000236878	-
ENSG00000206047	DEFA1
ENSG00000231496	-
ENSG00000258743	-
ENSG00000049239	H6PD
ENSG00000089902	RCOR1
ENSG00000178075	GRAMD1C
ENSG00000227964	-
ENSG00000261733	-
ENSG00000223316	-
ENSG00000108443	RPS6KB1
ENSG00000269921	-
ENSG00000272734	-
ENSG00000106571	GLI3
ENSG00000263631	-
ENSG00000228316	-
ENSG00000229406	-
ENSG00000226824	-
ENSG00000221523	-
ENSG00000152049	KCNE4
ENSG00000230707	-
ENSG00000266563	-
ENSG00000123364	HOXC13
ENSG00000225082	-
ENSG00000255153	-
ENSG00000261663	-
ENSG00000196227	FAM217B
ENSG00000249996	-
ENSG00000248842	-
ENSG00000230080	-
ENSG00000253829	-
ENSG00000072694	FCGR2B
ENSG00000188186	LAMTOR4
ENSG00000175309	PHYKPL
ENSG00000212211	-
ENSG00000275592	-
ENSG00000248935	-
ENSG00000150477	KIAA1328
ENSG00000231203	-
ENSG00000236489	-
ENSG00000238731	-
ENSG00000011052	NME1-NME2
ENSG00000236690	-
ENSG00000181649	PHLDA2
ENSG00000110395	CBL
ENSG00000223922	-
ENSG00000254425	-
ENSG00000276499	-
ENSG00000107018	RLN1
ENSG00000248480	-
ENSG00000254174	-
ENSG00000239679	-
ENSG00000228790	-
ENSG00000260799	-
ENSG00000128973	CLN6
ENSG00000100842	EFS
ENSG00000234363	-
ENSGR0000167393	-
ENSG00000266246	-
ENSG00000223905	-
ENSG00000116285	ERRFI1
ENSG00000244756	-
ENSG00000167880	EVPL
ENSG00000265948	-
ENSG00000270930	-
ENSG00000279273	-
ENSG00000139656	SMIM2
ENSG00000232140	-
ENSG00000254418	-
ENSG00000104998	IL27RA
ENSG00000278530	-
ENSG00000279952	-
ENSG00000230806	-
ENSG00000082068	WDR70
ENSG00000258064	-
ENSG00000186723	OR10H1
ENSG00000137948	BRDT
ENSG00000222805	-
ENSG00000165312	OTUD1
ENSG00000235204	-
ENSG00000136319	TTC5
ENSG00000249915	PDCD6
ENSG00000232167	-
ENSG00000277073	-
ENSG00000244657	-
ENSG00000241231	-
ENSG00000255774	-
ENSG00000181991	MRPS11
ENSG00000226544	-
ENSG00000201920	-
ENSG00000079819	EPB41L2
ENSG00000234460	-
ENSG00000044524	EPHA3
ENSG00000213753	-
ENSG00000197927	-
ENSG00000221725	-
ENSG00000251359	-
ENSG00000254146	-
ENSG00000253346	-
ENSG00000211452	DIO1
ENSG00000143793	C1orf35
ENSG00000134333	LDHA
ENSG00000275212	-
ENSG00000244544	-
ENSG00000277250	-
ENSG00000143184	XCL1
ENSG00000266392	-
ENSG00000261798	-
ENSG00000114062	UBE3A
ENSG00000119772	DNMT3A
ENSG00000213509	-
ENSG00000271821	-
ENSG00000229642	-
ENSG00000138735	PDE5A
ENSG00000251838	-
ENSG00000265727	-
ENSG00000275491	-
ENSG00000252130	-
ENSG00000279013	-
ENSG00000131845	ZNF304
ENSG00000280186	-
ENSG00000259631	-
ENSG00000182220	ATP6AP2
ENSG00000241757	-
ENSG00000253153	-
ENSG00000166896	ATP23
ENSG00000167676	PLIN4
ENSG00000280007	-
ENSG00000232177	-
ENSG00000275944	-
ENSG00000201683	-
ENSG00000185839	-
ENSG00000233290	-
ENSG00000223608	-
ENSG00000231261	-
ENSG00000228696	LOC100996709; ARL17A; ARL17B
ENSG00000229456	-
ENSG00000281222	-
ENSG00000213187	-
ENSG00000207176	-
ENSG00000199077	-
ENSG00000102007	PLP2
ENSG00000242411	-
ENSG00000118094	TREH
ENSG00000270507	-
ENSG00000048162	NOP16
ENSG00000146535	GNA12
ENSG00000135547	HEY2
ENSG00000168306	ACOX2
ENSG00000280341	-
ENSG00000064102	INTS13
ENSG00000148426	PROSER2
ENSG00000115685	PPP1R7
ENSG00000249916	-
ENSG00000271200	-
ENSG00000276669	-
ENSG00000228404	-
ENSG00000253538	-
ENSG00000275859	-
ENSG00000249309	-
ENSG00000167332	OR51E2
ENSG00000255236	-
ENSG00000235382	-
ENSG00000130649	CYP2E1
ENSG00000100029	PES1
ENSG00000248574	-
ENSG00000274160	-
ENSG00000259248	-
ENSG00000211685	-
ENSG00000268620	-
ENSG00000207620	-
ENSG00000255508	-
ENSG00000119471	HSDL2
ENSG00000252540	-
ENSG00000229086	-
ENSG00000228929	-
ENSG00000264054	-
ENSG00000231061	-
ENSG00000172345	STARD5
ENSG00000224650	-
ENSG00000236461	-
ENSG00000132300	PTCD3
ENSG00000229107	-
ENSG00000211779	-
ENSG00000175894	TSPEAR
ENSG00000213777	-
ENSG00000223985	-
ENSG00000100197	LOC107987479; CYP2D6; LOC107987478
ENSG00000162076	FLYWCH2
ENSG00000182667	NTM
ENSG00000250813	-
ENSG00000274010	-
ENSG00000260933	-
ENSG00000197919	IFNA1
ENSG00000263878	-
ENSG00000226806	-
ENSG00000255460	-
ENSG00000267567	-
ENSG00000250694	-
ENSG00000242976	-
ENSG00000225675	-
ENSG00000249741	-
ENSG00000206617	-
ENSG00000207249	-
ENSG00000266586	-
ENSG00000264212	-
ENSG00000204519	ZNF551
ENSG00000201699	-
ENSG00000229117	RPL41
ENSG00000225716	-
ENSG00000251810	-
ENSG00000057149	SERPINB3
ENSG00000200034	-
ENSG00000277746	-
ENSG00000100628	ASB2
ENSG00000251919	-
ENSG00000243250	-
ENSG00000272461	-
ENSG00000158481	CD1C
ENSG00000243543	WFDC6
ENSG00000271419	-
ENSG00000270863	-
ENSG00000173272	MZT2A
ENSG00000207546	-
ENSG00000214295	-
ENSG00000075914	EXOSC7
ENSG00000222346	-
ENSG00000221118	-
ENSG00000254814	-
ENSG00000225455	-
ENSG00000197444	OGDHL
ENSG00000233376	-
ENSG00000168811	IL12A
ENSG00000254081	-
ENSG00000137440	FGFBP1
ENSG00000249908	-
ENSG00000240626	-
ENSG00000222472	-
ENSG00000158483	FAM86C1P
ENSG00000212961	-
ENSG00000132031	MATN3
ENSG00000275894	-
ENSG00000232806	-
ENSG00000165195	PIGA
ENSG00000254411	-
ENSG00000265737	-
ENSG00000249184	-
ENSG00000070444	MNT
ENSG00000260694	-
ENSG00000265457	-
ENSG00000236998	-
ENSG00000066697	MSANTD3
ENSG00000236317	-
ENSG00000265574	-
ENSG00000226053	-
ENSG00000237390	-
ENSG00000182613	OR2V2
ENSG00000083444	PLOD1
ENSG00000247775	-
ENSG00000196748	CLPSL2
ENSG00000235444	-
ENSG00000200883	-
ENSG00000246526	-
ENSG00000236674	-
ENSG00000199910	-
ENSG00000253026	-
ENSG00000259042	-
ENSG00000007312	CD79B
ENSG00000273720	-
ENSG00000202440	-
ENSG00000145982	FARS2
ENSG00000274979	-
ENSG00000181381	DDX60L
ENSG00000277506	-
ENSG00000112303	VNN2
ENSG00000214193	SH3D21
ENSG00000212314	-
ENSG00000227335	-
ENSG00000232987	-
ENSG00000239911	-
ENSG00000241098	-
ENSG00000142552	RCN3
ENSG00000149923	PPP4C
ENSG00000235141	-
ENSG00000278977	-
ENSG00000226431	-
ENSG00000207972	-
ENSG00000188385	JAKMIP3
ENSG00000231434	-
ENSG00000279410	-
ENSG00000272079	-
ENSG00000149925	ALDOA
ENSG00000254222	-
ENSG00000271321	CTAGE6
ENSG00000144959	NCEH1
ENSG00000139613	SMARCC2
ENSG00000111783	RFX4
ENSG00000197893	NRAP
ENSG00000223864	-
ENSG00000277539	-
ENSG00000117602	RCAN3
ENSG00000207257	-
ENSG00000054983	GALC
ENSG00000173276	ZBTB21
ENSG00000265144	-
ENSG00000163376	KBTBD8
ENSG00000207944	-
ENSG00000112200	ZNF451
ENSG00000223634	-
ENSG00000231597	-
ENSG00000267206	LCN6
ENSG00000108590	MED31
ENSG00000101236	RNF24
ENSG00000099385	BCL7C
ENSG00000201263	-
ENSG00000250990	-
ENSG00000113360	DROSHA
ENSG00000264874	-
ENSG00000207963	-
ENSG00000161904	LEMD2
ENSG00000186265	BTLA
ENSG00000266715	-
ENSG00000200313	-
ENSG00000231738	TSPAN19
ENSG00000211679	-
ENSG00000276699	-
ENSG00000170325	PRDM10
ENSG00000261504	-
ENSG00000199767	-
ENSG00000278761	-
ENSG00000232386	-
ENSG00000277770	-
ENSG00000230107	-
ENSG00000267714	-
ENSG00000156467	UQCRB
ENSG00000212144	-
ENSG00000264720	-
ENSG00000165716	DIPK1B
ENSG00000230248	-
ENSG00000224870	-
ENSG00000204308	RNF5
ENSG00000169856	ONECUT1
ENSG00000272130	-
ENSGR0000223773	-
ENSG00000207548	-
ENSG00000183206	POTEC
ENSG00000265802	-
ENSG00000268830	-
ENSG00000266631	-
ENSG00000260281	-
ENSG00000173093	CCDC63
ENSG00000132964	CDK8
ENSG00000233378	-
ENSG00000232464	-
ENSG00000280903	-
ENSG00000234740	-
ENSG00000231603	-
ENSG00000281532	-
ENSG00000183570	PCBP3
ENSG00000101680	LAMA1
ENSG00000223200	-
ENSG00000177257	DEFB4B; DEFB4A
ENSG00000187325	TAF9B
ENSG00000173846	PLK3
ENSG00000149927	DOC2A
ENSG00000261279	-
ENSG00000168303	MPLKIP
ENSG00000242559	-
ENSG00000204022	LIPJ
ENSG00000111785	RIC8B
ENSG00000211866	-
ENSG00000213128	-
ENSG00000124900	TRIM51
ENSG00000200303	-
ENSG00000126562	WNK4
ENSG00000201501	-
ENSG00000240870	-
ENSG00000256098	-
ENSG00000113441	LNPEP
ENSG00000256195	-
ENSG00000265655	-
ENSG00000203356	-
ENSG00000251236	-
ENSG00000266908	-
ENSG00000251377	-
ENSG00000179165	PXT1
ENSG00000201065	-
ENSG00000082515	MRPL22
ENSG00000257198	-
ENSG00000221010	-
ENSG00000242104	-
ENSG00000276584	-
ENSG00000214027	-
ENSG00000278060	-
ENSG00000219951	-
ENSG00000130287	NCAN
ENSG00000256657	-
ENSG00000271288	-
ENSG00000234275	-
ENSG00000223761	-
ENSG00000222990	-
ENSG00000269444	-
ENSG00000254075	-
ENSG00000206759	-
ENSG00000228502	-
ENSG00000141028	-
ENSG00000268181	-
ENSG00000275270	-
ENSG00000251568	-
ENSG00000135905	DOCK10
ENSG00000270015	-
ENSG00000224354	-
ENSG00000259474	-
ENSG00000253658	-
ENSG00000266561	-
ENSG00000276889	-
ENSG00000231740	-
ENSG00000011677	GABRA3
ENSG00000117682	DHDDS
ENSG00000239659	-
ENSG00000276934	-
ENSG00000154493	C10orf90
ENSG00000227719	-
ENSG00000233139	-
ENSG00000248173	-
ENSG00000174197	MGA
ENSG00000280224	-
ENSG00000249026	-
ENSG00000263525	-
ENSG00000254971	-
ENSG00000239180	-
ENSG00000175643	RMI2
ENSG00000168746	-
ENSG00000100626	GALNT16
ENSG00000228797	-
ENSG00000206717	-
ENSG00000259402	-
ENSG00000206260	PRR23A
ENSG00000230426	-
ENSG00000216205	-
ENSG00000066777	ARFGEF1
ENSG00000136631	VPS45
ENSG00000251101	-
ENSG00000261710	-
ENSG00000279576	-
ENSG00000252809	-
ENSG00000257748	-
ENSG00000230274	-
ENSG00000196338	NLGN3
ENSG00000251429	-
ENSG00000263531	-
ENSG00000230039	-
ENSG00000240292	-
ENSG00000115221	ITGB6
ENSG00000184979	USP18
ENSG00000242571	-
ENSG00000272335	-
ENSG00000164404	GDF9
ENSG00000271511	-
ENSG00000199322	-
ENSG00000111684	LPCAT3
ENSG00000240480	-
ENSG00000171243	SOSTDC1
ENSG00000267041	ZNF850
ENSG00000250180	-
ENSG00000251535	-
ENSG00000230335	-
ENSG00000277297	-
ENSG00000223202	-
ENSG00000244089	-
ENSG00000211459	-
ENSG00000272995	-
ENSG00000231369	-
ENSG00000251080	-
ENSG00000251353	-
ENSG00000111530	CAND1
ENSG00000120457	KCNJ5
ENSG00000231234	-
ENSG00000131538	-
ENSG00000250034	-
ENSG00000268407	-
ENSG00000187486	KCNJ11
ENSG00000272989	-
ENSG00000271978	-
ENSG00000214176	-
ENSG00000100122	CRYBB1
ENSG00000201077	-
ENSG00000092529	CAPN3
ENSG00000112818	MEP1A
ENSG00000200842	-
ENSG00000113492	AGXT2
ENSG00000056972	TRAF3IP2
ENSG00000143157	POGK
ENSG00000181371	OR5M8
ENSG00000280581	-
ENSG00000250413	-
ENSG00000275778	-
ENSG00000173473	SMARCC1
ENSG00000253735	-
ENSG00000142875	PRKACB
ENSG00000239547	-
ENSG00000237478	-
ENSG00000016602	CLCA4
ENSG00000253099	-
ENSG00000203616	-
ENSG00000168172	HOOK3
ENSG00000240097	-
ENSG00000251676	-
ENSG00000256709	-
ENSG00000233829	-
ENSG00000109606	DHX15
ENSG00000261363	-
ENSG00000226536	-
ENSG00000235593	-
ENSG00000279897	-
ENSG00000213180	-
ENSG00000183066	WBP2NL
ENSG00000206832	-
ENSG00000277333	-
ENSG00000229735	-
ENSG00000276746	-
ENSG00000200799	-
ENSG00000254850	-
ENSG00000276291	-
ENSG00000234409	CCDC188
ENSG00000215915	ATAD3C
ENSG00000085999	RAD54L
ENSG00000265621	-
ENSG00000265891	-
ENSG00000280148	-
ENSG00000110172	CHORDC1
ENSG00000165646	SLC18A2
ENSG00000235875	-
ENSG00000260541	-
ENSG00000258337	-
ENSG00000248770	-
ENSG00000184014	DENND5A
ENSG00000225124	-
ENSG00000248577	-
ENSG00000276984	-
ENSG00000281136	-
ENSG00000278603	-
ENSG00000113732	ATP6V0E1
ENSG00000238067	-
ENSG00000252891	-
ENSG00000138152	BTBD16
ENSG00000230428	-
ENSG00000232896	-
ENSG00000257178	-
ENSG00000213421	-
ENSG00000201432	-
ENSG00000264957	-
ENSG00000253983	-
ENSG00000278664	-
ENSG00000102921	N4BP1
ENSG00000167311	ART5
ENSG00000143178	TBX19
ENSG00000276376	-
ENSG00000163464	CXCR1
ENSG00000236246	-
ENSG00000281088	-
ENSG00000254526	-
ENSG00000223575	-
ENSG00000201444	-
ENSG00000232573	-
ENSG00000261431	-
ENSG00000253164	-
ENSG00000250697	-
ENSG00000277323	-
ENSG00000238764	-
ENSG00000281849	-
ENSG00000241792	-
ENSG00000167178	ISLR2
ENSG00000251774	-
ENSG00000260092	-
ENSG00000092054	MYH7
ENSG00000088356	PDRG1
ENSG00000176752	-
ENSG00000223082	-
ENSG00000237714	-
ENSG00000200959	-
ENSG00000270971	-
ENSG00000267313	-
ENSG00000151632	AKR1C2
ENSG00000269107	-
ENSG00000268889	-
ENSG00000258999	-
ENSG00000270639	-
ENSG00000078295	ADCY2
ENSG00000147509	RGS20
ENSG00000250796	-
ENSG00000270965	-
ENSG00000239899	-
ENSG00000272601	-
ENSG00000084623	EIF3I
ENSGR0000223511	-
ENSG00000251455	-
ENSG00000226394	-
ENSG00000258985	-
ENSG00000221042	-
ENSG00000135912	TTLL4
ENSG00000211725	-
ENSG00000164104	HMGB2
ENSG00000268234	-
ENSG00000188991	SLC15A5
ENSG00000177889	UBE2N
ENSG00000253270	-
ENSG00000227023	-
ENSG00000222011	FAM185A
ENSG00000154678	PDE1C
ENSG00000200530	-
ENSG00000237595	-
ENSG00000281146	-
ENSG00000280692	-
ENSG00000234421	-
ENSG00000227172	-
ENSG00000201142	-
ENSG00000269095	-
ENSG00000165029	ABCA1
ENSG00000254577	-
ENSG00000239523	-
ENSG00000256073	-
ENSG00000223569	USP17L15
ENSG00000222760	-
ENSG00000224336	-
ENSG00000196290	NIF3L1
ENSG00000148677	ANKRD1
ENSG00000240912	-
ENSG00000153898	MCOLN2
ENSG00000146085	MMUT
ENSG00000213669	-
ENSG00000009844	VTA1
ENSG00000253926	-
ENSG00000159263	SIM2
ENSG00000248847	-
ENSG00000221376	-
ENSG00000236900	-
ENSG00000248810	-
ENSG00000276605	-
ENSG00000279361	-
ENSG00000121766	ZCCHC17
ENSG00000125746	EML2
ENSG00000180846	-
ENSG00000229613	-
ENSG00000005421	PON1
ENSG00000238075	-
ENSG00000178623	GPR35
ENSG00000116690	PRG4
ENSG00000227293	-
ENSG00000081853	PCDHGA2
ENSG00000281568	-
ENSG00000271222	-
ENSG00000202119	-
ENSG00000104804	TULP2
ENSG00000226432	-
ENSG00000140854	KATNB1
ENSG00000170959	DCDC1
ENSG00000258545	-
ENSG00000262708	-
ENSG00000223377	-
ENSG00000234467	-
ENSG00000280499	-
ENSG00000281490	-
ENSG00000272921	-
ENSG00000163221	S100A12
ENSG00000253131	-
ENSG00000271322	-
ENSG00000253583	-
ENSG00000006377	DLX6
ENSG00000281098	-
ENSG00000256420	-
ENSG00000232751	-
ENSG00000198105	ZNF248
ENSG00000095794	CREM
ENSG00000080910	CFHR2
ENSG00000242757	-
ENSG00000231857	-
ENSG00000206997	-
ENSG00000243053	-
ENSG00000249613	-
ENSG00000270850	-
ENSG00000257730	-
ENSG00000275029	-
ENSG00000023041	ZDHHC6
ENSG00000211885	-
ENSG00000258878	-
ENSG00000233888	-
ENSG00000278725	-
ENSG00000221304	-
ENSG00000249141	-
ENSG00000184271	POU6F1
ENSG00000173546	CSPG4
ENSG00000233451	-
ENSG00000268895	-
ENSG00000242747	-
ENSG00000250066	-
ENSG00000178372	CALML5
ENSG00000231699	-
ENSG00000206987	-
ENSG00000271704	-
ENSG00000226598	-
ENSG00000215264	-
ENSG00000201998	-
ENSG00000147439	BIN3
